country_txt,attacks_total,avg_killed,avg_wounded,median_killed,max_killed,severity_index,attacktype_Armed Assault,attacktype_Assassination,attacktype_Bombing/Explosion,attacktype_Facility/Infrastructure Attack,attacktype_Hijacking,attacktype_Hostage Taking (Barricade Incident),attacktype_Hostage Taking (Kidnapping),attacktype_Unarmed Assault,attacktype_Unknown
Nigeria,5469,5.23861766319254,2.2300237703419272,2.0,315.0,1.3101399903797262,0.4649844578533553,0.050466264399341744,0.23514353629548362,0.058694459681843114,0.0025598829767782046,0.005302614737611995,0.13384530992868898,0.002011336624611446,0.04699213750228561
Norway,13,6.076923076923077,6.0,0.0,69.0,0.8854864756617888,0.46153846153846156,0.0,0.15384615384615385,0.3076923076923077,0.07692307692307693,0.0,0.0,0.0,0.0
Pakistan,13687,1.6059034119967852,2.801125155256813,0.0,158.0,0.9004643574179374,0.26382698911375757,0.07152772704025717,0.5665960400379922,0.020822678454007454,0.0009498063856213925,0.0027032950975378095,0.058303499671220865,0.001461240593263681,0.013808723606341784
Panama,3,0.3333333333333333,0.0,0.0,1.0,0.23104906018664842,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
Papua New Guinea,10,0.0,0.3,0.0,0.0,0.1791759469228055,0.1,0.0,0.2,0.4,0.0,0.1,0.2,0.0,0.0
Paraguay,87,0.5977011494252874,0.41379310344827586,0.0,8.0,0.4511253950620347,0.25287356321839083,0.04597701149425287,0.16091954022988506,0.19540229885057472,0.0,0.04597701149425287,0.26436781609195403,0.0,0.034482758620689655
Peru,88,1.6477272727272727,2.0568181818181817,0.5,16.0,0.9735431886131951,0.3181818181818182,0.09090909090909091,0.2727272727272727,0.056818181818181816,0.011363636363636364,0.0,0.11363636363636363,0.0,0.13636363636363635
Philippines,6283,0.8807894318000955,1.4599713512653192,0.0,116.0,0.7407451104429229,0.342989017985039,0.16234282985834791,0.3017666719719879,0.07687410472704122,0.005093108387712876,0.007798822218685341,0.0732134330733726,0.0003183192742320548,0.02960369250358109
Poland,8,0.125,0.75,0.0,1.0,0.42514967270776943,0.125,0.0,0.5,0.25,0.0,0.0,0.0,0.125,0.0
Portugal,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Qatar,4,0.75,3.25,0.5,2.0,1.023586140555525,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25
Republic of the Congo,21,2.9047619047619047,2.2857142857142856,2.0,14.0,1.2216836349780873,0.19047619047619047,0.0,0.6190476190476191,0.047619047619047616,0.0,0.0,0.14285714285714285,0.0,0.0
Romania,1,0.0,1.0,0.0,0.0,0.6931471805599453,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russia,1914,1.8160919540229885,3.2951933124346917,0.0,344.0,0.9224671055202349,0.29153605015673983,0.09456635318704285,0.5329153605015674,0.03761755485893417,0.001567398119122257,0.003134796238244514,0.014629049111807733,0.01671891327063741,0.0073145245559038665
Rwanda,40,2.625,8.775,1.0,30.0,2.094788432107011,0.25,0.025,0.575,0.025,0.0,0.0,0.075,0.0,0.05
Saudi Arabia,563,1.0710479573712255,2.158081705150977,0.0,31.0,0.7136619239632818,0.17939609236234458,0.012433392539964476,0.7477797513321492,0.017761989342806393,0.0017761989342806395,0.0017761989342806395,0.012433392539964476,0.0,0.02664298401420959
Senegal,50,2.64,3.04,1.5,14.0,1.483625240842466,0.46,0.02,0.16,0.02,0.04,0.0,0.14,0.02,0.14
