country_txt,attacks_total,avg_killed,avg_wounded,median_killed,max_killed,severity_index
Nigeria,5469,5.23861766319254,2.2300237703419272,2.0,315.0,1.3101399903797262
Norway,13,6.076923076923077,6.0,0.0,69.0,0.8854864756617888
Pakistan,13687,1.6059034119967852,2.801125155256813,0.0,158.0,0.9004643574179374
Panama,3,0.3333333333333333,0.0,0.0,1.0,0.23104906018664842
Papua New Guinea,10,0.0,0.3,0.0,0.0,0.1791759469228055
Paraguay,87,0.5977011494252874,0.41379310344827586,0.0,8.0,0.4511253950620347
Peru,88,1.6477272727272727,2.0568181818181817,0.5,16.0,0.9735431886131951
Philippines,6283,0.8807894318000955,1.4599713512653192,0.0,116.0,0.7407451104429229
Poland,8,0.125,0.75,0.0,1.0,0.42514967270776943
Portugal,3,0.0,0.0,0.0,0.0,0.0
Qatar,4,0.75,3.25,0.5,2.0,1.023586140555525
Republic of the Congo,21,2.9047619047619047,2.2857142857142856,2.0,14.0,1.2216836349780873
Romania,1,0.0,1.0,0.0,0.0,0.6931471805599453
Russia,1914,1.8160919540229885,3.2951933124346917,0.0,344.0,0.9224671055202349
Rwanda,40,2.625,8.775,1.0,30.0,2.094788432107011
Saudi Arabia,563,1.0710479573712255,2.158081705150977,0.0,31.0,0.7136619239632818
Senegal,50,2.64,3.04,1.5,14.0,1.483625240842466
Serbia,14,0.21428571428571427,0.8571428571428571,0.0,2.0,0.5773806149133126
Serbia-Montenegro,11,0.2727272727272727,0.45454545454545453,0.0,1.0,0.39836605769762556
Sierra Leone,28,2.1785714285714284,1.1071428571428572,0.0,21.0,0.7728688382713803
Slovak Republic,3,0.6666666666666666,1.6666666666666667,0.0,2.0,1.1337324605540517
Slovenia,1,0.0,0.0,0.0,0.0,0.0
Solomon Islands,3,0.6666666666666666,0.0,1.0,1.0,0.46209812037329684
Somalia,5148,2.4933954933954934,2.0928515928515927,1.0,588.0,1.030914599803641
South Africa,211,0.5876777251184834,0.6540284360189573,0.0,6.0,0.5580142100305416
